"","keyword","Año","Universidad","area","frec_universidad","frec_biomedica"
"55","bioimpedance measurement",2019,"UdeC","Bioinstrumentation/Biomedical electronics",2,23
"56","bioimpedance measurement",2019,"UdeC","Bioinstrumentation/Biomedical electronics",2,23
"57","bioinformatics",2021,"UdeC","Bioinformatics/Genetic engineering",1,14
"58","bioinformatics",2020,"UdeC","Bioinformatics/Genetic engineering",1,10
"59","bioinformatics",2021,"USACH","Bioinformatics/Genetic engineering",9,14
"60","bioinformatics",2022,"USACH","Bioinformatics/Genetic engineering",6,11
"61","bioinformatics",2019,"UdeC","Bioinformatics/Genetic engineering",3,3
"62","bioinformatics",2019,"UdeC","Bioinformatics/Genetic engineering",3,3
"63","bioinformatics",2014,"UV","Bioinformatics/Genetic engineering",1,1
"64","bioinformatics",2021,"USACH","Bioinformatics/Genetic engineering",9,14
"65","bioinformatics",2013,"UdeC","Bioinformatics/Genetic engineering",1,1
"66","bioinformatics",2020,"USACH","Bioinformatics/Genetic engineering",8,10
"67","biological evolution",2022,"USACH","Bioinformatics/Genetic engineering",6,11
"68","biological evolution",2020,"USACH","Bioinformatics/Genetic engineering",8,10
"69","biological evolution",2021,"USACH","Bioinformatics/Genetic engineering",9,14
"70","biological marker",2022,"UV","Bioinformatics/Genetic engineering",5,11
"71","biological marker",2022,"UV","Bioinformatics/Genetic engineering",5,11
"72","biological marker",2022,"UV","Bioinformatics/Genetic engineering",5,11
"73","biological marker",2022,"UV","Bioinformatics/Genetic engineering",5,11
"74","biological materials",2022,"UV","Biomaterials",1,3
"75","biological model",2015,"UdeC","Systems Physiology",3,5
"76","biological model",2017,"UV","Systems Physiology",4,10
"77","biological model",2016,"UV","Systems Physiology",4,29
"78","biological model",2020,"USACH","Systems Physiology",4,27
"79","biomechanical phenomena",2021,"USACH","Biomechanics",2,6
"80","biomechanical phenomena",2010,"UV","Biomechanics",6,6
"81","biomechanical phenomena",2022,"USACH","Biomechanics",5,8
"82","biomechanics",2010,"UV","Biomechanics",6,6
"83","biomechanics",2021,"USACH","Biomechanics",2,6
"84","biomechanics",2022,"USACH","Biomechanics",5,8
"85","biomechanics",2020,"USACH","Biomechanics",2,3
"86","biomechanics",2022,"USACH","Biomechanics",5,8
"87","biomechanics",2022,"USACH","Biomechanics",5,8
"88","biomechanics",2019,"UV","Biomechanics",9,10
"89","biomechanics",2022,"UV","Biomechanics",3,8
"90","biomedical engineering",2017,"UV","Biomedical engineering",10,10
"91","biomedical engineering",2014,"UdeC","Biomedical engineering",2,4
"92","biomedical engineering",2013,"UV","Biomedical engineering",2,2
"93","biomedical engineering",2017,"UV","Biomedical engineering",10,10
"94","biomedical engineering",2014,"UdeC","Biomedical engineering",2,4
"95","biomedical engineering",2017,"UV","Biomedical engineering",10,10
"96","biomedical engineering",2017,"UV","Biomedical engineering",10,10
"97","biomedical engineering",2015,"UV","Biomedical engineering",2,2
"98","biomedical engineering",2014,"UV","Biomedical engineering",2,4
"99","biomedical engineering",2013,"UV","Biomedical engineering",2,2
"100","biomedical engineering",2017,"UV","Biomedical engineering",10,10
"101","biomedical engineering",2017,"UV","Biomedical engineering",10,10
"102","biomedical engineering",2017,"UV","Biomedical engineering",10,10
"103","biomedical engineering",2010,"UV","Biomedical engineering",1,1
"104","biomedical engineering",2017,"UV","Biomedical engineering",10,10
"105","biomedical engineering",2017,"UV","Biomedical engineering",10,10
"106","biomedical engineering",2008,"UV","Biomedical engineering",1,1
"107","biomedical engineering",2015,"UV","Biomedical engineering",2,2
"108","biomedical engineering",2014,"UV","Biomedical engineering",2,4
"109","biomedical engineering",2017,"UV","Biomedical engineering",10,10
"110","biomedical equipment",2013,"UV","Bioinstrumentation/Biomedical electronics",6,35
"111","biomedical equipment",2010,"UV","Bioinstrumentation/Biomedical electronics",5,6
"112","biomedical equipment",2017,"UV","Bioinstrumentation/Biomedical electronics",8,17
"113","biomedical equipment",2013,"UV","Bioinstrumentation/Biomedical electronics",6,35
"114","biomedical implants",2015,"UdeC","Rehabilitation/Orthopaedic Bioengineering",1,1
"115","biomedical implants",2012,"UdeC","Rehabilitation/Orthopaedic Bioengineering",1,1
"116","biomedical informatics",2020,"UdeC","Medical Informatics",3,6
"117","biomedical signal",2021,"USACH","Systems Physiology",13,14
"118","biomedical signal",2018,"UV","Systems Physiology",12,12
"119","biomedical signal",2018,"UV","Systems Physiology",12,12
"120","biomedical signal",2019,"UdeC","Systems Physiology",4,24
"121","biomedical signal",2018,"UV","Systems Physiology",12,12
"122","biomedical signal",2020,"UV","Systems Physiology",14,27
"123","biomedical signal",2021,"USACH","Systems Physiology",13,14
"124","biomedical signal processing",2020,"UV","Systems Physiology",14,27
"125","biomedical signal processing",2021,"USACH","Systems Physiology",13,14
"126","biomedical signal processing",2019,"UdeC","Systems Physiology",4,24
"127","biomedical technologies",2010,"UV","Bioinstrumentation/Biomedical electronics",5,6
"128","biometric fusion",2009,"UV","Biomechatronics",2,2
"129","biometric recognition",2012,"UV","Biomechatronics",2,2
"130","biometrics",2012,"UV","Biomechatronics",2,2
"131","biometrics",2009,"UV","Biomechatronics",2,2
"132","biomimetics",2017,"UV","Biomaterials",14,14
"133","biomimetics",2017,"UV","Biomaterials",14,14
"134","biomimetics",2017,"UV","Biomaterials",14,14
"135","biomimetics",2017,"UV","Biomaterials",14,14
"136","biomimetics",2017,"UV","Biomaterials",14,14
"137","biomineralization",2022,"USACH","Biomaterials",2,3
"138","biomineralization",2018,"UV","Biomaterials",3,3
"139","biomineralization",2019,"UV","Biomaterials",3,3
"140","biomolecules",2021,"USACH","Biomaterials",2,2
"141","biophysics",2013,"UV","Biomaterials",2,2
"142","biophysics",2013,"UV","Biomechanics",2,2
"143","biophysics",2017,"UV","Biomaterials",14,14
"144","biophysics",2017,"UV","Biomechanics",9,11
"145","biophysics",2014,"UV","Biomaterials",2,2
"146","biophysics",2014,"UV","Biomechanics",2,4
"147","biophysics",2017,"UV","Biomaterials",14,14
"148","biophysics",2017,"UV","Biomechanics",9,11
"149","biophysics",2013,"UV","Biomaterials",2,2
"150","biophysics",2013,"UV","Biomechanics",2,2
"151","biophysics",2014,"UV","Biomaterials",2,2
"152","biophysics",2014,"UV","Biomechanics",2,4
"153","biophysics",2017,"UV","Biomaterials",14,14
"154","biophysics",2017,"UV","Biomechanics",9,11
"155","biophysics",2017,"UV","Biomaterials",14,14
"156","biophysics",2017,"UV","Biomechanics",9,11
"157","biophysics",2017,"UV","Biomaterials",14,14
"158","biophysics",2017,"UV","Biomechanics",9,11
"159","biophysics",2017,"UV","Biomaterials",14,14
"160","biophysics",2017,"UV","Biomechanics",9,11
"161","biophysics",2017,"UV","Biomaterials",14,14
"162","biophysics",2017,"UV","Biomechanics",9,11
"163","biophysics",2017,"UV","Biomaterials",14,14
"164","biophysics",2017,"UV","Biomechanics",9,11
"165","biopolymers",2022,"USACH","Biomaterials",2,3
"166","biopolymers",2021,"USACH","Biomaterials",2,2
"167","biosensors",2019,"UV","Biomechanics",9,10
"168","blood analysis",2011,"UV","Systems Physiology",3,3
"169","blood analysis",2011,"UV","Systems Physiology",3,3
"170","blood flow",2022,"USACH","Biofluids",14,50
"171","blood flow",2021,"USACH","Biofluids",16,26
"172","blood flow",2021,"USACH","Biofluids",16,26
"173","blood flow",2022,"UV","Biofluids",36,50
"174","blood flow",2022,"UV","Biofluids",36,50
"175","blood flow",2022,"USACH","Biofluids",14,50
"176","blood flow",2022,"UV","Biofluids",36,50
"177","blood flow",2022,"UV","Biofluids",36,50
"178","blood flow",2021,"USACH","Biofluids",16,26
"179","blood flow",2021,"USACH","Biofluids",16,26
"180","blood flow",2020,"USACH","Biofluids",5,9
"181","blood flow",2022,"USACH","Biofluids",14,50
"182","blood flow",2020,"USACH","Biofluids",5,9
"183","blood flow",2020,"USACH","Biofluids",5,9
"184","blood flow",2021,"UV","Biofluids",10,26
"185","blood flow",2022,"USACH","Biofluids",14,50
"186","blood flow",2021,"UV","Biofluids",10,26
"187","blood flow",2022,"USACH","Biofluids",14,50
"188","blood flow",2022,"UV","Biofluids",36,50
"189","blood flow",2015,"UV","Biofluids",1,1
"190","blood flow",2022,"UV","Biofluids",36,50
"191","blood flow",2022,"UV","Biofluids",36,50
"192","blood flow",2022,"UV","Biofluids",36,50
"193","blood flow",2022,"USACH","Biofluids",14,50
"194","blood flow",2021,"USACH","Biofluids",16,26
"195","brain computer interface",2013,"UV","Bioinstrumentation/Biomedical electronics",6,35
"196","brain computer interface",2013,"UV","Bioinstrumentation/Biomedical electronics",6,35
"197","brain electrophysiology",2019,"UV","Systems Physiology",20,24
"198","brain electrophysiology",2019,"UV","Systems Physiology",20,24
"199","breast images",2019,"UV","Medical Imaging",48,70
"200","breathing mechanics",2019,"UV","Biomechanics",9,10
"201","breathing mechanics",2010,"UV","Biomechanics",6,6
"202","calcification biochemistry",2018,"UV","Biomaterials",3,3
"203","calcification biochemistry",2019,"UV","Biomaterials",3,3
"204","cardiovascular magnetic resonance",2022,"UV","Medical Imaging",91,106
"205","cardiovascular magnetic resonance",2022,"UV","Medical Imaging",91,106
"206","cardiovascular magnetic resonance",2021,"UV","Medical Imaging",45,62
"207","cardiovascular magnetic resonance",2022,"UV","Medical Imaging",91,106
"208","cardiovascular magnetic resonance",2021,"UV","Medical Imaging",45,62
"209","cardiovascular magnetic resonance",2022,"UV","Medical Imaging",91,106
"210","cell engineering",2022,"UV","Cellular and tissue engineering",2,2
"211","cell interaction",2004,"UV","Systems Physiology",1,1
"212","cerebral autoregulation",2022,"USACH","Systems Physiology",15,18
"213","cerebral autoregulation",2022,"USACH","Systems Physiology",15,18
"214","cerebral autoregulation",2022,"USACH","Systems Physiology",15,18
"215","cerebral autoregulation",2022,"USACH","Systems Physiology",15,18
"216","cerebral haemodynamics",2021,"USACH","Systems Physiology",13,14
"217","cerebral haemodynamics",2021,"USACH","Systems Physiology",13,14
"218","cerebral hemodynamics",2021,"USACH","Systems Physiology",13,14
"219","clinical engineering",2017,"UV","Clinical engineering",3,5
"220","clinical management",2020,"USACH","Clinical engineering",3,5
"221","clinical management",2020,"USACH","Clinical engineering",3,5
"222","computational biology",2016,"UV","Bioinformatics/Genetic engineering",1,1
"223","computational biology",2020,"USACH","Bioinformatics/Genetic engineering",8,10
"224","computational biology",2020,"UV","Bioinformatics/Genetic engineering",1,10
"225","computational neuroscience",2017,"UV","Neural Engineering",3,3
"226","computational neuroscience",2017,"UV","Neural Engineering",3,3
"227","computational neuroscience",2017,"UV","Neural Engineering",3,3
"228","computerized tomography",2020,"UV","Medical Imaging",58,65
"229","computerized tomography",2020,"UV","Medical Imaging",58,65
"230","computerized tomography",2008,"UdeC","Medical Imaging",9,9
"231","computerized tomography",2020,"UV","Medical Imaging",58,65
"232","condition monitoring",2021,"UdeC","Bioinstrumentation/Biomedical electronics",1,11
"233","condition monitoring",2018,"UdeC","Bioinstrumentation/Biomedical electronics",11,23
"234","condition monitoring",2016,"UdeC","Bioinstrumentation/Biomedical electronics",20,31
"235","condition monitoring",2018,"UdeC","Bioinstrumentation/Biomedical electronics",11,23
"236","condition monitoring",2018,"UdeC","Bioinstrumentation/Biomedical electronics",11,23
"237","condition monitoring",2018,"UdeC","Bioinstrumentation/Biomedical electronics",11,23
"238","condition monitoring",2017,"UdeC","Bioinstrumentation/Biomedical electronics",9,17
"239","condition monitoring",2018,"UdeC","Bioinstrumentation/Biomedical electronics",11,23
"240","condition monitoring",2017,"UdeC","Bioinstrumentation/Biomedical electronics",9,17
"241","condition monitoring",2017,"UdeC","Bioinstrumentation/Biomedical electronics",9,17
"242","condition monitoring",2016,"UdeC","Bioinstrumentation/Biomedical electronics",20,31
"243","condition monitoring",2018,"UdeC","Bioinstrumentation/Biomedical electronics",11,23
"244","condition monitoring",2017,"UdeC","Bioinstrumentation/Biomedical electronics",9,17
"245","condition monitoring",2016,"UdeC","Bioinstrumentation/Biomedical electronics",20,31
"246","condition monitoring",2016,"UdeC","Bioinstrumentation/Biomedical electronics",20,31
"247","condition monitoring",2016,"UdeC","Bioinstrumentation/Biomedical electronics",20,31
"248","condition monitoring",2016,"UdeC","Bioinstrumentation/Biomedical electronics",20,31
"249","diagnostic imaging",2019,"UV","Medical Imaging",48,70
"250","diagnostic imaging",2016,"UdeC","Medical Imaging",29,45
"251","diagnostic imaging",2021,"UdeC","Medical Imaging",17,62
"252","diagnostic imaging",2019,"UdeC","Medical Imaging",22,70
"253","diagnostic imaging",2022,"UdeC","Medical Imaging",15,106
"254","diagnostic imaging",2020,"UV","Medical Imaging",58,65
"255","diagnostic imaging",2017,"UdeC","Medical Imaging",21,30
"256","diagnostic imaging",2021,"UV","Medical Imaging",45,62
"257","diagnostic imaging",2022,"UV","Medical Imaging",91,106
"258","diagnostic imaging",2019,"UV","Medical Imaging",48,70
"259","diagnostic imaging",2020,"UV","Medical Imaging",58,65
"260","diagnostic imaging",2017,"UdeC","Medical Imaging",21,30
"261","diagnostic imaging",2022,"UdeC","Medical Imaging",15,106
"262","diagnostic imaging",2022,"UdeC","Medical Imaging",15,106
"263","diagnostic imaging",2021,"UV","Medical Imaging",45,62
"264","diagnostic imaging",2020,"UdeC","Medical Imaging",7,65
"265","diagnostic imaging",2017,"UV","Medical Imaging",9,30
"266","diagnostic imaging",2022,"UV","Medical Imaging",91,106
"267","diagnostic imaging",2022,"UV","Medical Imaging",91,106
"268","diagnostic imaging",2021,"UdeC","Medical Imaging",17,62
"269","diagnostic imaging",2016,"UdeC","Medical Imaging",29,45
"270","diagnostic imaging",2022,"UV","Medical Imaging",91,106
"271","diagnostic imaging",2020,"UV","Medical Imaging",58,65
"272","diagnostic imaging",2019,"UV","Medical Imaging",48,70
"273","diagnostic imaging",2022,"UV","Medical Imaging",91,106
"274","diagnostic imaging",2019,"UV","Medical Imaging",48,70
"275","diagnostic imaging",2021,"UdeC","Medical Imaging",17,62
"276","diagnostic imaging",2021,"UdeC","Medical Imaging",17,62
"277","diagnostic imaging",2019,"UdeC","Medical Imaging",22,70
"278","diagnostic imaging",2022,"UdeC","Medical Imaging",15,106
"279","diagnostic imaging",2022,"UdeC","Medical Imaging",15,106
"280","diagnostic imaging",2022,"UV","Medical Imaging",91,106
"281","diagnostic imaging",2021,"UdeC","Medical Imaging",17,62
"282","diagnostic imaging",2016,"UdeC","Medical Imaging",29,45
"283","diagnostic imaging",2020,"UdeC","Medical Imaging",7,65
"284","diagnostic imaging",2022,"UV","Medical Imaging",91,106
"285","diagnostic imaging",2020,"UV","Medical Imaging",58,65
"286","diagnostic radiography",2008,"UdeC","Medical Imaging",9,9
"287","diffusion magnetic resonance imaging",2016,"UdeC","Medical Imaging",29,45
"288","diffusion magnetic resonance imaging",2017,"UdeC","Medical Imaging",21,30
"289","diffusion magnetic resonance imaging",2014,"UV","Medical Imaging",3,10
"290","diffusion magnetic resonance imaging",2019,"UdeC","Medical Imaging",22,70
"291","diffusion magnetic resonance imaging",2020,"UV","Medical Imaging",58,65
"292","diffusion magnetic resonance imaging",2013,"UdeC","Medical Imaging",14,14
"293","diffusion magnetic resonance imaging",2020,"UV","Medical Imaging",58,65
"294","diffusion magnetic resonance imaging",2021,"UV","Medical Imaging",45,62
"295","diffusion magnetic resonance imaging",2020,"UV","Medical Imaging",58,65
"296","diffusion magnetic resonance imaging",2013,"UdeC","Medical Imaging",14,14
"297","diffusion magnetic resonance imaging",2017,"UdeC","Medical Imaging",21,30
"298","diffusion magnetic resonance imaging",2019,"UdeC","Medical Imaging",22,70
"299","diffusion magnetic resonance imaging",2020,"UV","Medical Imaging",58,65
"300","diffusion magnetic resonance imaging",2017,"UdeC","Medical Imaging",21,30
"301","diffusion magnetic resonance imaging",2018,"UdeC","Medical Imaging",4,7
"302","diffusion magnetic resonance imaging",2020,"UdeC","Medical Imaging",7,65
"303","diffusion magnetic resonance imaging",2013,"UdeC","Medical Imaging",14,14
"304","dynamic cerebral autoregulation",2022,"USACH","Systems Physiology",15,18
"305","dynamic cerebral autoregulation",2022,"USACH","Systems Physiology",15,18
"306","ehealth",2016,"UV","Medical Informatics",3,3
"307","electrical stimulation",2014,"UdeC","Systems Physiology",4,4
"308","electrical stimulation",2020,"UdeC","Systems Physiology",9,27
"309","electrical stimulation",2014,"UdeC","Systems Physiology",4,4
"310","electrocardiography",2013,"UdeC","Bioinstrumentation/Biomedical electronics",29,35
"311","electrocardiography",2011,"UdeC","Bioinstrumentation/Biomedical electronics",2,2
"312","electrocardiography",2013,"UdeC","Bioinstrumentation/Biomedical electronics",29,35
"313","electrocardiography",2016,"UdeC","Bioinstrumentation/Biomedical electronics",20,31
"314","electrocardiography",2013,"UdeC","Bioinstrumentation/Biomedical electronics",29,35
"315","electrocardiography",2016,"UdeC","Bioinstrumentation/Biomedical electronics",20,31
"316","electrocardiography",2017,"UdeC","Bioinstrumentation/Biomedical electronics",9,17
"317","electrocardiography",2013,"UdeC","Bioinstrumentation/Biomedical electronics",29,35
"318","electrocardiography",2013,"UdeC","Bioinstrumentation/Biomedical electronics",29,35
"319","electrocardiography",2013,"UdeC","Bioinstrumentation/Biomedical electronics",29,35
"320","electrocardiography",2013,"UV","Bioinstrumentation/Biomedical electronics",6,35
"321","electrocardiography",2013,"UdeC","Bioinstrumentation/Biomedical electronics",29,35
"322","electrocardiography",2015,"UdeC","Bioinstrumentation/Biomedical electronics",16,16
"323","electrocardiography",2013,"UdeC","Bioinstrumentation/Biomedical electronics",29,35
"324","electrocardiography",2017,"UdeC","Bioinstrumentation/Biomedical electronics",9,17
"325","electrocardiography",2013,"UdeC","Bioinstrumentation/Biomedical electronics",29,35
"326","electrocardiography",2013,"UdeC","Bioinstrumentation/Biomedical electronics",29,35
"327","electrocardiography",2013,"UdeC","Bioinstrumentation/Biomedical electronics",29,35
"328","electrocardiography",2013,"UdeC","Bioinstrumentation/Biomedical electronics",29,35
"329","electrocardiography",2013,"UdeC","Bioinstrumentation/Biomedical electronics",29,35
"330","electrocardiography",2016,"UdeC","Bioinstrumentation/Biomedical electronics",20,31
"331","electrocardiography",2016,"UdeC","Bioinstrumentation/Biomedical electronics",20,31
"332","electrocardiography",2015,"UdeC","Bioinstrumentation/Biomedical electronics",16,16
"333","electrocardiography",2015,"UdeC","Bioinstrumentation/Biomedical electronics",16,16
"334","electrocardiography",2015,"UdeC","Bioinstrumentation/Biomedical electronics",16,16
"335","electrocardiography",2011,"UdeC","Bioinstrumentation/Biomedical electronics",2,2
"336","electrocardiography",2013,"UdeC","Bioinstrumentation/Biomedical electronics",29,35
"337","electrocardiography",2013,"UdeC","Bioinstrumentation/Biomedical electronics",29,35
"338","electroencephalography",2016,"UV","Bioinstrumentation/Biomedical electronics",11,31
"339","electroencephalography",2018,"UV","Bioinstrumentation/Biomedical electronics",12,23
"340","electroencephalography",2019,"UV","Bioinstrumentation/Biomedical electronics",21,23
"341","electroencephalography",2019,"UV","Bioinstrumentation/Biomedical electronics",21,23
"342","electroencephalography",2017,"UV","Bioinstrumentation/Biomedical electronics",8,17
"343","electroencephalography",2019,"UV","Bioinstrumentation/Biomedical electronics",21,23
"344","electroencephalography",2019,"UV","Bioinstrumentation/Biomedical electronics",21,23
"345","electroencephalography",2018,"UV","Bioinstrumentation/Biomedical electronics",12,23
"346","electroencephalography",2016,"UV","Bioinstrumentation/Biomedical electronics",11,31
"347","electroencephalography",2016,"UV","Bioinstrumentation/Biomedical electronics",11,31
"348","electroencephalography",2019,"UV","Bioinstrumentation/Biomedical electronics",21,23
"349","electroencephalography",2019,"UV","Bioinstrumentation/Biomedical electronics",21,23
"350","electroencephalography",2019,"UV","Bioinstrumentation/Biomedical electronics",21,23
"351","electroencephalography",2017,"UV","Bioinstrumentation/Biomedical electronics",8,17
"352","electroencephalography",2019,"UV","Bioinstrumentation/Biomedical electronics",21,23
"353","electroencephalography",2019,"UV","Bioinstrumentation/Biomedical electronics",21,23
"354","electroencephalography",2019,"UV","Bioinstrumentation/Biomedical electronics",21,23
"355","electroencephalography",2020,"UV","Bioinstrumentation/Biomedical electronics",8,11
"356","electroencephalography",2020,"UV","Bioinstrumentation/Biomedical electronics",8,11
"357","electroencephalography",2016,"UV","Bioinstrumentation/Biomedical electronics",11,31
"358","electroencephalography",2020,"UV","Bioinstrumentation/Biomedical electronics",8,11
"359","electroencephalography",2019,"UV","Bioinstrumentation/Biomedical electronics",21,23
"360","electroencephalography",2019,"UV","Bioinstrumentation/Biomedical electronics",21,23
"361","electroencephalography",2018,"UV","Bioinstrumentation/Biomedical electronics",12,23
"362","electroencephalography",2022,"UV","Bioinstrumentation/Biomedical electronics",2,2
"363","electroencephalography",2019,"UV","Bioinstrumentation/Biomedical electronics",21,23
"364","electroencephalography",2018,"UV","Bioinstrumentation/Biomedical electronics",12,23
"365","electroencephalography",2019,"UV","Bioinstrumentation/Biomedical electronics",21,23
"366","electromyography",2021,"UV","Bioinstrumentation/Biomedical electronics",9,11
"367","electromyography",2021,"UV","Bioinstrumentation/Biomedical electronics",9,11
"368","electromyography",2021,"UV","Bioinstrumentation/Biomedical electronics",9,11
"369","electromyography",2021,"UV","Bioinstrumentation/Biomedical electronics",9,11
"370","electromyography",2018,"UdeC","Bioinstrumentation/Biomedical electronics",11,23
"371","electromyography",2016,"UdeC","Bioinstrumentation/Biomedical electronics",20,31
"372","electromyography",2016,"UdeC","Bioinstrumentation/Biomedical electronics",20,31
"373","electromyography",2018,"UdeC","Bioinstrumentation/Biomedical electronics",11,23
"374","electromyography",2018,"UdeC","Bioinstrumentation/Biomedical electronics",11,23
"375","electromyography",2013,"UdeC","Bioinstrumentation/Biomedical electronics",29,35
"376","electromyography",2013,"UdeC","Bioinstrumentation/Biomedical electronics",29,35
"377","electromyography",2013,"UdeC","Bioinstrumentation/Biomedical electronics",29,35
"378","electromyography",2013,"UdeC","Bioinstrumentation/Biomedical electronics",29,35
"379","electromyography",2016,"UdeC","Bioinstrumentation/Biomedical electronics",20,31
"380","electromyography",2021,"UV","Bioinstrumentation/Biomedical electronics",9,11
"381","electromyography",2021,"UV","Bioinstrumentation/Biomedical electronics",9,11
"382","electromyography",2013,"UdeC","Bioinstrumentation/Biomedical electronics",29,35
"383","electromyography",2021,"UV","Bioinstrumentation/Biomedical electronics",9,11
"384","electromyography",2013,"UdeC","Bioinstrumentation/Biomedical electronics",29,35
"385","electromyography",2018,"UdeC","Bioinstrumentation/Biomedical electronics",11,23
"386","electromyography",2016,"UdeC","Bioinstrumentation/Biomedical electronics",20,31
"387","electromyography",2021,"UV","Bioinstrumentation/Biomedical electronics",9,11
"388","electromyography",2021,"UV","Bioinstrumentation/Biomedical electronics",9,11
"389","electromyography",2022,"UV","Bioinstrumentation/Biomedical electronics",2,2
"390","electrooculography",2014,"UdeC","Bioinstrumentation/Biomedical electronics",7,7
"391","electrooculography",2014,"UdeC","Bioinstrumentation/Biomedical electronics",7,7
"392","electrooculography",2014,"UdeC","Bioinstrumentation/Biomedical electronics",7,7
"393","electrooculography",2014,"UdeC","Bioinstrumentation/Biomedical electronics",7,7
"394","electrophysiology",2019,"UV","Systems Physiology",20,24
"395","electrophysiology",2001,"UV","Systems Physiology",1,1
"396","electrophysiology",2020,"UV","Systems Physiology",14,27
"397","electrophysiology",2019,"UV","Systems Physiology",20,24
"398","electrophysiology",2020,"UV","Systems Physiology",14,27
"399","electrostimulation",2013,"UdeC","Systems Physiology",13,13
"400","electrostimulation",2013,"UdeC","Systems Physiology",13,13
"401","electrostimulation",2020,"UdeC","Systems Physiology",9,27
"402","electrostimulation",2013,"UdeC","Systems Physiology",13,13
"403","electrostimulation",2013,"UdeC","Systems Physiology",13,13
"404","electrostimulation",2022,"UV","Systems Physiology",3,18
"405","electrostimulation",2018,"UV","Systems Physiology",12,12
"406","evoked potentials",2016,"UV","Bioinstrumentation/Biomedical electronics",11,31
"407","evoked potentials",2018,"UV","Bioinstrumentation/Biomedical electronics",12,23
"408","evoked potentials",2017,"UV","Bioinstrumentation/Biomedical electronics",8,17
"409","evoked potentials",2019,"UV","Bioinstrumentation/Biomedical electronics",21,23
